,Tweet,Followers,Friends,Num_tweets,Verified,Listed_count,Location,Age,Length,Num_users,Num_author_replies,TOXICITY_x,Num_toxic_direct_replies,Num_toxic_nested_replies,Num_author_toxic_replies,Num_toxic_replies,Toxic
28059,1436834705995968512,48901,1583,8542,True,660,True,10,22,16,0,0.02249265,0.0,1.0,0.0,1.0,1
28060,1442225380681650179,24425,3389,14747,False,10,True,3,81,75,0,0.045131154,1.0,0.0,0.0,1.0,1
28061,1430712284612005889,520,356,13097,False,7,True,1,9,3,5,0.36456755,0.0,0.0,0.0,0.0,0
28062,1435806438786539522,931,842,44684,False,36,True,2,20,7,9,0.75208336,0.0,1.0,1.0,1.0,1
28063,1433226497242943491,296,208,3340,False,0,False,8,2,2,0,0.37795907,0.0,0.0,0.0,0.0,0
28064,1437969579775455233,1684,803,2881,False,34,True,12,22,9,0,0.11336674,0.0,1.0,0.0,1.0,1
28065,1434950217779060751,2089,1245,186014,False,7,False,10,5,3,0,0.17025198,0.0,0.0,0.0,0.0,0
28066,1435805256022216704,171,405,2928,False,0,True,5,6,2,2,0.030741978,0.0,0.0,0.0,0.0,0
28067,1436530216277528577,3712,61,1936,False,9,False,10,9,8,0,0.102192536,1.0,0.0,0.0,1.0,1
28068,1432566485751377932,561,277,10116,False,6,True,4,3,3,0,0.016964182,0.0,0.0,0.0,0.0,0
28069,1426663422297579524,484,28,1214,False,0,True,0,51,44,1,0.04166769,0.0,0.0,0.0,0.0,0
28070,1435823081805778952,6764,658,99623,False,27,True,2,10,4,3,0.46982017,0.0,0.0,0.0,0.0,0
28071,1442670769633325057,364,482,5023,False,1,True,0,4,2,1,0.025674535,0.0,0.0,0.0,0.0,0
28072,1430328992343609346,659,444,9496,False,3,True,1,3,3,0,0.053295042,0.0,0.0,0.0,0.0,0
28073,1442681423169609730,154,78,7375,False,0,True,1,2,2,0,0.020842785,0.0,0.0,0.0,0.0,0
28074,1428384190060404739,2,37,78,False,0,False,0,2,2,0,0.09611836,0.0,0.0,0.0,0.0,0
28075,1428400166177017856,586945,752,19978,True,3370,False,11,21,18,0,0.37751234,2.0,0.0,0.0,2.0,1
28076,1429652249807101957,1523,1027,21358,False,8,True,3,2,2,0,0.29405528,0.0,0.0,0.0,0.0,0
28077,1428876907538493440,7919,984,16602,False,6,True,1,12,11,1,0.112953395,1.0,0.0,0.0,1.0,1
28078,1437619703547973635,762,647,9348,False,0,True,8,4,2,1,0.03781283,0.0,0.0,0.0,0.0,0
28079,1428110721456484356,795,312,6592,False,2,True,9,2,2,0,0.081625134,0.0,0.0,0.0,0.0,0
28080,1431811628496998401,527,584,44077,False,37,True,9,3,2,1,0.044883765,0.0,0.0,0.0,0.0,0
28081,1428859509540155394,1917,780,20047,False,46,True,10,3,2,1,0.029092113,0.0,0.0,0.0,0.0,0
28082,1428863166985945091,716,604,32621,False,3,False,8,2,2,0,0.36456755,0.0,0.0,0.0,0.0,0
28083,1428106267097194503,266,270,1616,False,0,True,0,3,2,1,0.08479069,0.0,0.0,0.0,0.0,0
28084,1436155165820735490,378,331,2504,False,4,False,1,6,6,0,0.15987846,1.0,0.0,0.0,1.0,1
28085,1441865161279778819,778,1069,63454,False,15,True,12,3,3,0,0.104795754,0.0,0.0,0.0,0.0,0
28086,1432558860523372549,5414,639,5184,False,14,True,0,2,2,0,0.73663366,0.0,0.0,0.0,0.0,0
28087,1431819127908229120,137,242,24263,False,0,True,0,3,2,1,0.021196328,0.0,0.0,0.0,0.0,0
28088,1428103830202376206,238,2151,12378,False,0,False,3,8,3,5,0.20242359,0.0,0.0,0.0,0.0,0
28089,1438299474372317186,40955,580,10672,False,105,True,5,16,13,0,0.37751234,0.0,1.0,0.0,1.0,1
28090,1442210113419419648,4831,1960,31484,False,17,False,2,3,2,1,0.051810697,0.0,0.0,0.0,0.0,0
28091,1438297150727888898,664,1055,8715,False,60,True,12,2,2,0,0.1373533,0.0,0.0,0.0,0.0,0
28092,1433238333585461248,166,294,19882,False,1,True,7,3,2,1,0.45921504,0.0,0.0,0.0,0.0,0
28093,1442210260228485122,1131,1387,51291,False,13,True,10,5,3,2,0.14256015,0.0,0.0,0.0,0.0,0
28094,1431814811977912320,1738,755,136444,False,7,True,12,9,2,4,0.9061063,0.0,1.0,0.0,1.0,1
28095,1435799451076022278,1439,1232,17279,False,54,True,12,4,2,1,0.28674445,0.0,1.0,0.0,1.0,1
28096,1435365927831412736,284702,462,77318,True,5273,True,6,10,6,0,0.077668175,0.0,1.0,0.0,1.0,1
